v0002_codigo_do_municipio,GeoSES,PRIMEIRA__VAR,SEGUNDA__VAR,TERCEIRA__VAR,educação,mobilidade,pobreza,privacao_material,riqueza,renda,segregacao,educação__VAR,mobilidade__VAR,pobreza__VAR,privacao_material__VAR,riqueza__VAR,renda__VAR,segregacao__VAR
4317707,-0.3228718752014863,P_POBREZA,MED_RENDDOM,P_SO_CARRO,66.78238740203075,0,33.02885643191117,30.55759218682764,0.1601779184214358,1583.4906756736555,0.1406830269894055,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4305108,0.21765726934861074,P_POBREZA,MED_RENDDOM,P_SO_CARRO,46.109798879949686,0,9.00748819846051,54.89730465012735,1.3600358264171977,3822.0525596415864,0.17419458896479867,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4308003,-0.05116908423633448,P_POBREZA,MED_RENDDOM,P_SO_CARRO,61.830108291461585,0,20.745151788479443,39.48888588574194,1.7588823429925728,2495.661717582551,0.16684412951577698,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4308052,-0.32280739721893104,P_POBREZA,MED_RENDDOM,P_SO_CARRO,65.57925766239879,0,39.7892285829673,31.595714051376447,0.0,1385.1783953805502,0.17499192236470407,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321600,-0.12086622642669176,P_POBREZA,MED_RENDDOM,P_SO_CARRO,59.20366082955704,0,27.98546737237183,37.00401435249739,1.3610569756398103,2193.550533526652,0.164410404665027,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301057,-0.03094017513466185,P_POBREZA,MED_RENDDOM,P_SO_CARRO,58.90564238076243,0,20.072118482351968,48.40474080484148,0.9875179462733534,2339.9187002790586,0.1795193366111505,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301073,-0.057889416585995335,P_POBREZA,MED_RENDDOM,P_SO_CARRO,75.88898242813312,0,30.8880665553771,39.00987580847212,0.43619050570019624,3198.856351173524,0.194241806919365,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4301107,-0.22424327525068044,P_POBREZA,MED_RENDDOM,P_SO_CARRO,61.77533445645241,0,28.435254961793945,29.93099522394668,0.886963472055152,1964.1629823818264,0.16257630710596693,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321626,-0.13860967939901025,P_POBREZA,MED_RENDDOM,P_SO_CARRO,73.49957141777537,0,9.089969877888898,26.026650772106557,0.0,2643.590483619671,0.2082931861501489,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
4321634,0.26524491940933714,P_POBREZA,MED_RENDDOM,P_SO_CARRO,58.66046330497656,0,7.26477650346456,41.984386396260454,0.31914184239096954,5646.137869155075,0.2141140823307648,P_SEM_INST,0,P_POBREZA,P_SO_CARRO,P_BANH4OUMAIS,MED_RENDDOM,ICE_renda_preto
